DATE,CAT,CMS,Crises,Domicile,Evenements,Gestion,Gestion - Accueil Telephonique,Gestion Amex,Gestion Assurances,Gestion Clients,Gestion DZ,Gestion Relation Clienteles,Gestion Renault,Japon,Manager,Mécanicien,Médical,Nuit,Prestataires,RENAULT,RTC,Regulation Medicale,SAP,Services,Tech. Axa,Tech. Inter,Tech. Total,Téléphonie,day
2013-01-04 00:00:00,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,9.0,0.0,3.0,0.0,2.0,1.0,4.0,0.0,1.0,1.0,87.0,False
2013-01-04 00:30:00,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,9.0,0.0,3.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,88.0,False
2013-01-04 01:00:00,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,9.0,0.0,3.0,0.0,2.0,1.0,4.0,0.0,1.0,2.0,88.0,False
2013-01-04 01:30:00,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,9.0,0.0,3.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,87.0,False
2013-01-04 02:00:00,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,9.0,0.0,3.0,0.0,2.0,1.0,4.0,0.0,1.0,1.0,87.0,False
2013-01-04 02:30:00,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,9.0,0.0,3.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,87.0,False
2013-01-04 03:00:00,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,9.0,0.0,3.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,87.0,False
2013-01-04 03:30:00,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,9.0,0.0,3.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,87.0,False
2013-01-04 04:00:00,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,9.0,0.0,3.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,87.0,False
2013-01-04 04:30:00,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,9.0,0.0,3.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,87.0,False
